Q2413412 | TOO_SMALL | 512x365
Q98608806 | SKIPPED_OBJECT | kunst paravang blankenberge (7446996234) <p>'monument voor een saltimbanque' (20
Q98608908 | SKIPPED_OBJECT | 'beaufort04' de panne (7368064292) <p>'boundaries of infinity' (2012) van kunste
Q98608943 | SKIPPED_OBJECT | de panne statue bois  gfdl|cc-by-sa-2.5,2.0,1.0|files with no machine-readable a
Q98637649 | SKIPPED_OBJECT | kunst prof. blanchardlaan koksijde (7400349786) <p>'cross section'. een meer dan
Q2477833 | TOO_SMALL | 516x415
Q2496555 | TOO_SMALL | 2025x444
Q97258691 | SKIPPED_OBJECT | ids willemsma larixstraat leeuwarden sculpture made by ids willemsma in 1973, pl
Q98666020 | SKIPPED_OBJECT | (forever free) three graces <a href="https://www.wikidata.org/wiki/q98666020" cl
Q98666032 | SKIPPED_OBJECT | men (nieuwpoort) men, kunstwerk van nina beier in nieuwpoort cc-zero|men by nina
Q99429586 | SKIPPED_OBJECT | gallos sculpture front 2.5m statue entitled "gallos" ("power" in cornish) on tin
Q99528746 | SKIPPED_OBJECT | münster, salzstraße, hanse-steine -- 2017 -- 2378 hanse stones (adolph w. knüppe
Q99572539 | SKIPPED_OBJECT | madeleine berkhemer - de verloren parel - 2015 - het park rotterdam  het park, r
Q99891814 | TOO_SMALL | 476x386
Q101119281 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101119321 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101119364 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101119413 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101119459 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101119586 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101119608 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101119690 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101119713 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101119908 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101120154 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101120172 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101120197 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101120218 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101120234 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101120254 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q83140479 | TOO_SMALL | 587x329
Q83182491 | SKIPPED_OBJECT | spinoza nicolas dings zwanenburgwal amsterdam statue of baruch de spinoza by nic
Q83969202 | SKIPPED_OBJECT | willem valk - stern op bol this is an image of a municipal monument in groningen
Q9395619 | TOO_SMALL | 423x600
Q9769176 | TOO_SMALL | 410x767
Q11945407 | TOO_SMALL | 315x448
Q11950096 | TOO_SMALL | 285x448
Q12076084 | TOO_SMALL | 404x539
Q7528381 | TOO_SMALL | 298x400
Q101194773 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101194797 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101194860 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101194882 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101194900 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101194942 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101195653 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101195654 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101195656 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101195661 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101195663 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101196732 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101196966 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101197016 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101197059 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101197230 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101197509 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101197548 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101197596 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101197638 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101197752 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101197796 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101198317 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101198355 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101198421 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101198435 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101198450 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101198477 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101198493 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q101198510 | SKIPPED_OBJECT | <div class="fn">
